Company,Symbol,Date
3M Company,MMM,20170425
3M Company,MMM,20170725
A.O. Smith Corp,AOS,20170726
Abbott Laboratories,ABT,20171018
AbbVie Inc.,ABBV,20170427
AbbVie Inc.,ABBV,20170728
AbbVie Inc.,ABBV,20171027
ABIOMED Inc,ABMD,20170504
Activision Blizzard,ATVI,20170209
Activision Blizzard,ATVI,20170504
Adobe Systems Inc,ADBE,20170316
Advance Auto Parts,AAP,20170524
Advanced Micro Devices Inc,AMD,20170501
Advanced Micro Devices Inc,AMD,20170725
Advanced Micro Devices Inc,AMD,20171024
AES Corp,AES,20170508
AES Corp,AES,20171102
Aetna Inc,AET,20170131
Aetna Inc,AET,20170502
Aetna Inc,AET,20171031
Agilent Technologies Inc,A,20170214
Akamai Technologies Inc,AKAM,20170207
Akamai Technologies Inc,AKAM,20170502
Alaska Air Group Inc,ALK,20170208
Alaska Air Group Inc,ALK,20171025
Alexion Pharmaceuticals,ALXN,20171026
Align Technology,ALGN,20170131
Align Technology,ALGN,20170427
Align Technology,ALGN,20170727
Allegion,ALLE,20170209
Allegion,ALLE,20170427
"Allergan, Plc",AGN,20170803
Alliance Data Systems,TODO,20170126
Alliance Data Systems,TODO,20170420
Alliance Data Systems,TODO,20171019
Altria Group Inc,MO,20170502
Altria Group Inc,MO,20170727
Altria Group Inc,MO,20171026
Amazon.com Inc.,AMZN,20170202
Amazon.com Inc.,AMZN,20170427
Ameren Corp,AEE,20170216
American Express Co,AXP,20170419
American Express Co,AXP,20170719
American Express Co,AXP,20171018
American Tower Corp A,AMT,20170227
American Tower Corp A,AMT,20170427
AmerisourceBergen Corp,ABC,20170131
AmerisourceBergen Corp,ABC,20170504
AmerisourceBergen Corp,ABC,20170803
AmerisourceBergen Corp,ABC,20171102
AMETEK Inc.,AME,20170207
AMETEK Inc.,AME,20170802
Amgen Inc.,AMGN,20170725
Amgen Inc.,AMGN,20171025
Anthem Inc.,ELV,20170201
Anthem Inc.,ELV,20170426
Anthem Inc.,ELV,20170726
Aon plc,AON,20170509
